Timestamp, FrameID, RTT(us)
1766398794.257541, 73045, 738356
1766398794.875583, 81975, 771085
1766398794.921831, 82892, 766958
1766398794.921883, 83869, 700114
1766398794.951916, 83650, 748544
1766398795.019465, 84514, 747680
1766398795.141637, 86419, 754054
1766398795.701315, 95507, 712662
1766398795.706551, 95174, 752635
1766398795.719566, 95428, 749256
1766398795.726319, 95992, 720024
1766398795.818486, 96939, 747487
1766398795.897217, 97621, 776379
1766398796.094079, 100702, 774152
1766398796.099095, 101052, 761147
1766398796.218347, 103340, 731167
1766398796.273648, 103793, 751817
1766398796.344964, 105139, 741161
1766398796.379594, 105785, 725906
1766398796.734852, 110907, 745192
1766398796.853722, 112564, 764960
1766398796.918672, 114175, 732030
1766398796.974360, 114738, 737461
1766398797.075212, 116174, 754833
1766398797.153767, 117582, 732770
1766398797.255201, 118470, 783395
1766398797.263886, 119275, 741048
1766398797.409256, 121127, 754622
1766398797.499714, 122712, 745273
1766398797.580505, 124651, 708307
1766398797.692754, 126550, 689810
1766398797.700435, 126120, 728321
1766398797.705223, 125603, 768196
1766398797.712859, 126314, 725131
1766398797.805529, 127291, 751714
1766398797.857305, 128295, 736894
1766398797.902693, 128905, 748541
1766398797.912916, 129759, 709210
1766398797.919078, 129516, 729218
1766398797.925907, 130206, 689042
1766398797.925934, 130319, 670689
1766398797.925938, 129909, 705811
1766398797.935956, 130766, 665556
1766398797.938521, 131289, 634498
1766398797.938538, 131953, 585046
1766398797.942650, 131340, 622139
1766398797.942670, 131833, 603730
1766398797.947470, 132231, 576669
1766398797.955112, 134356, 451681
1766398797.955140, 130940, 667427
1766398797.957729, 133198, 519845
1766398797.957745, 133482, 502757
1766398797.957748, 132923, 536876
1766398797.960413, 132581, 572303
1766398797.971256, 134134, 483289
1766398797.971285, 132806, 572577
1766398797.976502, 133714, 506465
1766398797.995169, 134682, 454880
1766398797.996195, 134568, 475608
1766398798.003961, 134953, 447307
1766398798.016657, 135395, 451992
1766398798.354696, 135771, 750145
1766398798.422693, 136656, 768446
1766398798.522242, 138074, 765082
1766398798.538571, 138527, 750869
1766398798.569460, 139307, 732370
1766398798.569497, 139728, 714757
1766398798.731010, 141456, 761519
1766398798.765004, 142612, 711462
1766398798.794558, 142990, 724205
1766398798.863843, 143481, 761994
1766398798.881960, 143849, 763799
1766398798.920380, 144784, 735167
1766398798.930923, 144569, 761043
1766398798.980538, 145716, 727807
1766398799.018557, 146349, 732685
1766398799.031858, 146515, 728444
1766398799.095251, 147100, 760188
1766398799.150325, 148017, 748077
1766398799.154991, 148515, 719904
1766398799.167481, 148269, 748719
1766398799.224823, 149427, 739782
1766398799.235181, 149040, 766894
1766398799.327528, 150343, 775066
1766398799.359157, 151480, 739922
1766398799.387698, 152392, 701587
1766398799.388127, 152254, 718676
1766398799.395240, 151931, 742197
1766398799.427358, 152993, 708121
1766398799.551396, 154408, 732092
1766398799.565860, 154193, 762853
1766398799.597760, 155882, 695985
1766398799.611035, 155117, 758238
1766398799.624600, 155564, 738577
1766398799.691616, 156377, 755129
1766398799.767419, 157748, 731028
1766398799.784189, 158367, 714636
1766398799.784226, 158168, 731394
1766398799.850849, 159154, 732172
1766398799.867443, 159789, 699324
1766398799.879731, 159501, 727707
1766398799.879780, 159274, 742815
1766398799.959808, 161501, 691072
1766398799.967002, 160569, 748630
1766398799.974866, 160906, 739426
1766398799.989799, 161043, 738082
1766398800.041159, 162094, 722266
1766398800.046321, 162439, 710806
1766398800.049908, 162773, 697797
1766398800.134806, 163589, 715843
1766398800.134842, 163457, 730720
1766398800.224819, 164963, 723192
1766398800.259574, 165464, 724504
1766398800.303944, 166059, 735323
1766398800.350044, 167220, 697755
1766398800.352338, 167082, 716390
1766398800.352358, 166698, 733041
1766398800.352374, 167895, 666580
1766398800.362470, 168333, 643534
1766398800.362506, 168871, 609498
1766398800.365097, 167965, 662733
1766398800.372700, 169120, 603838
1766398800.378164, 167479, 709277
1766398800.383175, 168465, 648098
1766398800.530543, 169792, 711358
1766398800.532960, 173090, 497090
1766398800.533022, 170382, 679926
1766398800.533041, 172367, 547496
1766398800.533445, 170517, 664881
1766398800.535960, 171581, 601037
1766398800.538469, 170807, 653111
1766398800.538496, 173803, 469376
1766398800.545213, 171973, 592786
1766398800.550196, 170012, 714269
1766398800.550230, 174102, 452084
1766398800.550242, 174030, 464018
1766398800.550671, 174840, 419720
1766398800.553224, 171197, 650521
1766398800.553281, 173342, 501733
1766398800.555716, 171414, 636559
1766398800.560291, 172272, 591978
1766398800.563340, 175040, 411692
1766398800.567317, 172741, 562990
1766398800.567361, 172884, 547960
1766398800.569957, 175146, 400483
1766398800.584926, 174581, 465557
1766398800.592326, 175767, 390327
